API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API

*******************************************************************************
JPL/HORIZONS                    (2016 EF156)               2025-Oct-04 11:53:23
Rec #:50269893 (+COV) Soln.date: 2021-Apr-15_16:38:32        # obs: 90 (9 days)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2457458.5 ! 2016-Mar-11.00 (TDB)         Residual RMS= .41534
   EC= .4501416466271261   QR= .5229785144600969   TP= 2457532.3355455888
   OM= 354.8584815882981   W=  305.0531010358854   IN= 22.10544025909297
   A= .9511149757971412    MA= 281.5451073755514   ADIST= 1.379251437134186
   PER= .92759             N= 1.062562645          ANGMOM= .014980578
   DAN= .6026              DDN= 1.02283            L= 301.9934205
   B= -17.942161           MOID= .0165642          TP= 2016-May-23.8355455888
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= n.a.               ROTPER= n.a.
   H= 24.7                 G= .150                 B-V= n.a.
                           ALBEDO= n.a.            STYP= n.a.

ASTEROID comments: 
1: soln ref.= JPL#9, OCC=7
2: source=ORB
*******************************************************************************


*******************************************************************************
Ephemeris / API_USER Sat Oct  4 11:53:23 2025 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: (2016 EF156)                    {source: JPL#9}
Center body name: Solar System Barycenter (0)     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2025-Oct-04 00:00:00.0000 TDB
Stop  time      : A.D. 2026-Oct-04 00:00:00.0000 TDB
Step-size       : 60 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)
Small perturbers: Yes                             {source: SB441-N16}
Output units    : KM-S
Calendar mode   : Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2x (pos. & vel. w/uncertainties: XYZ)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2457458.5 ! 2016-Mar-11.00 (TDB)         Residual RMS= .41534        
   EC= .4501416466271261   QR= .5229785144600969   TP= 2457532.3355455888      
   OM= 354.8584815882981   W=  305.0531010358854   IN= 22.10544025909297       
  Equivalent ICRF heliocentric cartesian coordinates (au, au/d):
   X=-1.040586760670922E+00  Y= 1.270011252206345E-01  Z= 7.901269710211090E-02
  VX= 4.943299120368032E-03 VY=-1.069445496750548E-02 VZ=-1.063137771254691E-02
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= n.a.               ROTPER= n.a.                
   H= 24.7                 G= .150                 B-V= n.a.                   
                           ALBEDO= n.a.            STYP= n.a.                  
*******************************************************************************
            JDTDB             Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,             X_s,             Y_s,             Z_s,            VX_s,            VY_s,            VZ_s,
********************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2460952.500000000, A.D. 2025-Oct-04 00:00:00.0000,  9.805641055535100E+07,  3.167927037332841E+07,  1.676112072876868E+07,  1.474671051760072E+00,  3.693991504690489E+01,  1.497275843392295E+01,  2.10039876E+05,  5.01819470E+06,  2.00984588E+06,  1.53834048E+00,  5.00955748E-01,  2.80588270E-01,
2460952.541666667, A.D. 2025-Oct-04 01:00:00.0000,  9.806164650925134E+07,  3.181223002028973E+07,  1.681501027720273E+07,  1.434202377153301E+00,  3.692654986306800E+01,  1.496587768533818E+01,  2.04505996E+05,  5.01638897E+06,  2.00883500E+06,  1.53603905E+00,  5.02226550E-01,  2.81007108E-01,
2460952.583333333, A.D. 2025-Oct-04 02:00:00.0000,  9.806673688552283E+07,  3.194514149193674E+07,  1.686887503445993E+07,  1.393794582854644E+00,  3.691315100855309E+01,  1.495898556774848E+01,  1.98980397E+05,  5.01457868E+06,  2.00782263E+06,  1.53373960E+00,  5.03491679E-01,  2.81423711E-01,
2460952.625000000, A.D. 2025-Oct-04 03:00:00.0000,  9.807168190324342E+07,  3.207800466732778E+07,  1.692271495971870E+07,  1.353447618135360E+00,  3.689971863401381E+01,  1.495208214014145E+01,  1.93463073E+05,  5.01276384E+06,  2.00680876E+06,  1.53144212E+00,  5.04751154E-01,  2.81838085E-01,
2460952.666666667, A.D. 2025-Oct-04 04:00:00.0000,  9.807648178130777E+07,  3.221081942605834E+07,  1.697653001236768E+07,  1.313161432021288E+00,  3.688625288963559E+01,  1.494516746130666E+01,  1.87954017E+05,  5.01094448E+06,  2.00579340E+06,  1.52914663E+00,  5.06004992E-01,  2.82250240E-01,
2460952.708333333, A.D. 2025-Oct-04 05:00:00.0000,  9.808113673842682E+07,  3.234358564826806E+07,  1.703032015200856E+07,  1.272935973292516E+00,  3.687275392513548E+01,  1.493824158983552E+01,  1.82453220E+05,  5.00912061E+06,  2.00477656E+06,  1.52685314E+00,  5.07253211E-01,  2.82660182E-01,
2460952.750000000, A.D. 2025-Oct-04 06:00:00.0000,  9.808564699312660E+07,  3.247630321463476E+07,  1.708408533845361E+07,  1.232771190487012E+00,  3.685922188976349E+01,  1.493130458412191E+01,  1.76960677E+05,  5.00729226E+06,  2.00375825E+06,  1.52456166E+00,  5.08495829E-01,  2.83067919E-01,
2460952.791666667, A.D. 2025-Oct-04 07:00:00.0000,  9.809001276374741E+07,  3.260897200636835E+07,  1.713782553172319E+07,  1.192667031904227E+00,  3.684565693230363E+01,  1.492435650236284E+01,  1.71476380E+05,  5.00545945E+06,  2.00273847E+06,  1.52227219E+00,  5.09732863E-01,  2.83473458E-01,
2460952.833333333, A.D. 2025-Oct-04 08:00:00.0000,  9.809423426844305E+07,  3.274159190521789E+07,  1.719154069204858E+07,  1.152623445604741E+00,  3.683205920107400E+01,  1.491739740255835E+01,  1.66000321E+05,  5.00362219E+06,  2.00171724E+06,  1.51998475E+00,  5.10964331E-01,  2.83876807E-01,
2460952.875000000, A.D. 2025-Oct-04 09:00:00.0000,  9.809831172517993E+07,  3.287416279346549E+07,  1.724523077986952E+07,  1.112640379413851E+00,  3.681842884392785E+01,  1.491042734251218E+01,  1.60532494E+05,  5.00178051E+06,  2.00069456E+06,  1.51769934E+00,  5.12190251E-01,  2.84277974E-01,
